Package Name,Size,Percentage of Total Size
libwps,2054369,0.027214
liborcus,2041840,0.027048
zvbi,2038721,0.027006
mpfr,2035717,0.026967
cogl,2035453,0.026963
gst-editing-services,2020188,0.026761
gnutls-utils,2006157,0.026575
audit,2004011,0.026547
fwupd-plugin-uefi-capsule-data,2000096,0.026495
cairo,1998742,0.026477
libical-glib,1984859,0.026293
openssh,1972540,0.026130
libunistring,1960989,0.025977
libunistring1.0,1959651,0.025959
alsa-lib,1934816,0.025630
at-spi2-core,1928878,0.025551
pcsc-lite-ccid,1913795,0.025351
iwlwifi-dvm-firmware,1907774,0.025272
make,1899735,0.025165
libdb,1889950,0.025036
djvulibre-libs,1887192,0.024999
adobe-source-code-pro-fonts,1886539,0.024990
psmisc,1854629,0.024568
dracut,1834194,0.024297
gjs,1833761,0.024291
libosinfo,1817109,0.024071
libappstream-glib,1812317,0.024007
tpm2-tools,1811517,0.023997
libnl3,1808583,0.023958
gnome-tour,1807576,0.023944
libglvnd,1787422,0.023677
baobab,1780137,0.023581
flashrom,1773631,0.023495
grilo,1770358,0.023451
mdevctl,1760660,0.023323
vim-minimal,1759437,0.023307
genisoimage,1756743,0.023271
ncurses,1754110,0.023236
libjxl,1745804,0.023126
kexec-tools,1743072,0.023090
gnome-clocks,1739327,0.023040
fedora-logos,1739240,0.023039
tcpdump,1737336,0.023014
libinput,1735990,0.022996
openssl,1735716,0.022992
ModemManager-glib,1735484,0.022989
findutils,1733750,0.022966
userspace-rcu,1715566,0.022726
tzdata,1712794,0.022689
NetworkManager-openvpn,1703505,0.022566
sssd-client,1697914,0.022492
criu,1687795,0.022358
exempi,1687117,0.022349
texlive-lib,1679276,0.022245
adwaita-icon-theme,1671942,0.022148
libtracker-sparql,1665179,0.022058
liberation-sans-fonts,1662268,0.022020
libsamplerate,1647254,0.021821
sil-padauk-fonts,1645551,0.021798
python3-gpg,1629235,0.021582
ladspa,1627364,0.021557
libdrm,1627173,0.021555
hunspell,1623245,0.021503
xmlrpc-c,1622771,0.021496
libcupsfilters,1618706,0.021442
fftw-libs-double,1618061,0.021434
cups-client,1614975,0.021393
libgpod,1614620,0.021388
libdazzle,1602983,0.021234
blivet-gui-runtime,1597053,0.021156
libevent,1595946,0.021141
augeas-libs,1569072,0.020785
urw-base35-p052-fonts,1557220,0.020628
spice-glib,1555374,0.020604
libopenmpt,1548718,0.020515
libasan,1547838,0.020504
python3-cffi,1542500,0.020433
python-pip-wheel,1538542,0.020381
libgfortran,1529502,0.020261
liberation-serif-fonts,1528653,0.020250
libvirt-daemon-driver-storage-core,1519465,0.020128
unbound-libs,1517907,0.020107
libwinpr,1514562,0.020063
libhandy,1513262,0.020046
libepoxy,1507708,0.019972
sqlite-libs,1498098,0.019845
libsoup,1497785,0.019841
python3-langtable,1497040,0.019831
hplip-libs,1482350,0.019636
open-vm-tools-desktop,1475901,0.019551
python3-beautifulsoup4,1466041,0.019420
hplip-common,1466027,0.019420
libcanberra,1465167,0.019409
mbedtls,1465063,0.019407
urw-base35-c059-fonts,1460518,0.019347
yelp-xsl,1444364,0.019133
iproute-tc,1443611,0.019123
xz,1443230,0.019118
avahi,1442154,0.019104
libbabeltrace,1440253,0.019079
codec2,1439463,0.019068
roc-toolkit,1437771,0.019046
iputils,1435210,0.019012
libcap,1432119,0.018971
cifs-utils,1430974,0.018956
urw-base35-nimbus-roman-fonts,1429732,0.018939
ostree,1428915,0.018928
xorg-x11-drv-wacom,1428650,0.018925
urw-base35-bookman-fonts,1428570,0.018924
perl-Net-SSLeay,1418956,0.018796
polkit,1412912,0.018716
gstreamer1-plugins-ugly-free,1412453,0.018710
libX11,1407852,0.018649
gnome-font-viewer,1407813,0.018649
google-noto-sans-vf-fonts,1404226,0.018601
lpsolve,1403805,0.018596
libglvnd-glx,1399078,0.018533
taglib,1392942,0.018452
p11-kit-server,1390657,0.018422
gawk-all-langpacks,1389907,0.018412
abrt-addon-ccpp,1369926,0.018147
gettext-libs,1345224,0.017820
lame-libs,1344847,0.017815
libreoffice-graphicfilter,1342850,0.017788
libvirt-client,1338446,0.017730
plymouth,1334381,0.017676
tmux,1329376,0.017610
fprintd,1327481,0.017585
spice-server,1327215,0.017581
libvorbis,1326069,0.017566
glib-networking,1323261,0.017529
colord-libs,1323128,0.017527
