Package Name,Size,Percentage of Total Size
libthai,958342,0.0100
cracklib,957843,0.0100
libfprint,957748,0.0100
libnice,957592,0.0100
nss-softokn-freebl,952958,0.0100
duktape,951504,0.0100
qt5-qtgraphicaleffects,950835,0.0100
srt-libs,946226,0.0100
cups-libs,946022,0.0100
qemu-virtiofsd,943829,0.0100
libdav1d,942335,0.0100
qemu-device-display-vhost-user-gpu,937405,0.0100
python3-pyyaml,932150,0.0100
libglusterfs0,928664,0.0100
python3-gobject-base-noarch,928244,0.0100
python3-dateutil,927214,0.0100
ibus-anthy-python,927128,0.0100
libvirt-daemon-driver-nwfilter,917459,0.0100
curl,906688,0.0100
libplacebo,906091,0.0100
vamp-plugin-sdk,903084,0.0100
libnumbertext,897989,0.0100
libsepol,895635,0.0100
lua,892493,0.0100
libavutil-free,891116,0.0100
libsecret,889968,0.0100
python3-pycparser,888298,0.0100
libxslt,886575,0.0100
rpm-libs,885732,0.0100
osinfo-db-tools,885423,0.0100
python-systemd-doc,881444,0.0100
python-setuptools-wheel,880927,0.0100
python3-libreport,880287,0.0100
libtheora,875174,0.0100
libwpd,873902,0.0100
gc,872928,0.0100
libtiff,871049,0.0100
pcre2,863002,0.0100
chrony,858296,0.0100
raptor2,855905,0.0100
squashfs-tools,852592,0.0100
dosfstools,852207,0.0100
oniguruma,850549,0.0100
libvirt-daemon-driver-nodedev,850515,0.0100
libvirt-daemon-driver-interface,850065,0.0100
libvirt-daemon-driver-secret,849851,0.0100
libodfgen,848198,0.0100
enchant2,844246,0.0100
dconf,841138,0.0100
dbus-tools,839580,0.0100
rsync,836146,0.0100
dnsmasq,835940,0.0100
qgnomeplatform-qt6,834740,0.0100
upower,831674,0.0100
ethtool,829223,0.0100
libao,827415,0.0100
libmtp,822205,0.0100
less,819531,0.0100
vte291,819377,0.0100
gpgme,817898,0.0100
libzstd,815830,0.0100
deltarpm,815780,0.0100
geoclue2,815356,0.0100
volume_key-libs,813547,0.0100
xmlsec1,810774,0.0100
highway,809906,0.0100
xdg-desktop-portal-gnome,809773,0.0100
boost-locale,808465,0.0100
avahi-tools,806632,0.0100
python3-libselinux,806554,0.0100
efivar-libs,806426,0.0100
glx-utils,803990,0.0100
webrtc-audio-processing,802926,0.0100
libppd,796017,0.0100
gettext-runtime,795171,0.0100
wireplumber,794178,0.0100
glusterfs-fuse,792864,0.0100
gnome-desktop4,790199,0.0100
jemalloc,789039,0.0100
e2fsprogs-libs,782559,0.0100
python3-dbus,779799,0.0100
libreoffice-pdfimport,776280,0.0100
xorg-x11-drv-ati,771844,0.0100
cryptsetup,769147,0.0100
antiword,768856,0.0100
pcre,764868,0.0100
xvidcore,763279,0.0100
flac-libs,760471,0.0100
nspr,759808,0.0100
gnupg2-smime,756017,0.0100
gnome-menus,753805,0.0000
NetworkManager-openvpn-gnome,752855,0.0000
bluez-obexd,751840,0.0000
python3-mako,751194,0.0000
fuse,749559,0.0000
unzip,745787,0.0000
libadwaita-qt6,740308,0.0000
gmp,739335,0.0000
python3-pycurl,738336,0.0000
setup,737479,0.0000
pixman,736375,0.0000
gnome-weather,735518,0.0000
gnome-abrt,733049,0.0000
lsof,731078,0.0000
acl,722543,0.0000
libusal,722122,0.0000
systemd-resolved,721185,0.0000
sssd-ad,718618,0.0000
libwsman1,716115,0.0000
xdg-desktop-portal-gtk,714942,0.0000
teamd,709219,0.0000
libsndfile,707488,0.0000
attr,707309,0.0000
ntfs-3g,707157,0.0000
readline,706957,0.0000
plocate,703781,0.0000
libpinyin,700704,0.0000
libvisio,694947,0.0000
redhat-menus,688500,0.0000
python3-gobject-base,686423,0.0000
m4,685590,0.0000
python3-unbound,684622,0.0000
fribidi,684568,0.0000
liblangtag,678726,0.0000
mesa-libGL,677273,0.0000
poppler-glib,675836,0.0000
p11-kit-trust,672975,0.0000
fdk-aac-free,671840,0.0000
bolt,671499,0.0000
virglrenderer,670946,0.0000
usbutils,670190,0.0000
libadwaita-qt5,669752,0.0000
plymouth-core-libs,669196,0.0000
libglvnd-gles,667410,0.0000
pcre2-utf16,662432,0.0000
lvm2-dbusd,660121,0.0000
libidn2,659073,0.0000
desktop-file-utils,654195,0.0000
cups-browsed,653841,0.0000
libcdio-paranoia,650417,0.0000
jq,649453,0.0000
device-mapper,644888,0.0000
speexdsp,644529,0.0000
netpbm,644150,0.0000
json-glib,642028,0.0000
libexttextcat,641298,0.0000
perl-IO-Socket-SSL,640133,0.0000
keyutils,636718,0.0000
libplist,634486,0.0000
libblkio,633192,0.0000
python3-pexpect,631656,0.0000
satyr,631338,0.0000
dbus-broker,630364,0.0000
avahi-libs,630310,0.0000
mod_http2,629823,0.0000
libatasmart,629399,0.0000
ibus-m17n,627527,0.0000
libreoffice-x11,627353,0.0000
PackageKit-glib,626368,0.0000
distribution-gpg-keys,625734,0.0000
cyrus-sasl,624691,0.0000
pam-libs,622895,0.0000
libunwind,620276,0.0000
google-noto-sans-arabic-vf-fonts,620084,0.0000
perl-B,620062,0.0000
gcr,619176,0.0000
totem-pl-parser,616384,0.0000
uchardet,614967,0.0000
mtools,614774,0.0000
NetworkManager-openconnect-gnome,614649,0.0000
NetworkManager-vpnc-gnome,614598,0.0000
yajl,613488,0.0000
NetworkManager-pptp-gnome,613290,0.0000
libcurl-minimal,611966,0.0000
libxkbcommon,611882,0.0000
abrt-addon-kerneloops,610243,0.0000
passwd,609815,0.0000
passwdqc-utils,609345,0.0000
libbs2b,607473,0.0000
sord,604910,0.0000
woff2,604872,0.0000
plymouth-graphics-libs,603251,0.0000
trousers-lib,601395,0.0000
libcanberra-gtk3,601234,0.0000
libwacom-data,600512,0.0000
libzhuyin,598564,0.0000
python3-ply,598325,0.0000
