Package Name,Size,Percentage of Total Size
xdg-desktop-portal-gtk,714942,.009400
teamd,709219,.009300
libsndfile,707488,.009300
attr,707309,.009300
ntfs-3g,707157,.009300
readline,706957,.009300
plocate,703781,.009300
libpinyin,700704,.009200
libvisio,694947,.009200
redhat-menus,688500,.009100
python3-gobject-base,686423,.009000
m4,685590,.009000
python3-unbound,684622,.009000
fribidi,684568,.009000
liblangtag,678726,.008900
mesa-libGL,677273,.008900
poppler-glib,675836,.008900
p11-kit-trust,672975,.008900
fdk-aac-free,671840,.008800
bolt,671499,.008800
virglrenderer,670946,.008800
usbutils,670190,.008800
libadwaita-qt5,669752,.008800
plymouth-core-libs,669196,.008800
libglvnd-gles,667410,.008800
pcre2-utf16,662432,.008700
lvm2-dbusd,660121,.008700
libidn2,659073,.008700
desktop-file-utils,654195,.008600
cups-browsed,653841,.008600
libcdio-paranoia,650417,.008600
jq,649453,.008600
device-mapper,644888,.008500
speexdsp,644529,.008500
netpbm,644150,.008500
json-glib,642028,.008500
libexttextcat,641298,.008400
perl-IO-Socket-SSL,640133,.008400
keyutils,636718,.008400
libplist,634486,.008400
libblkio,633192,.008300
python3-pexpect,631656,.008300
satyr,631338,.008300
dbus-broker,630364,.008300
avahi-libs,630310,.008300
mod_http2,629823,.008300
libatasmart,629399,.008300
ibus-m17n,627527,.008300
libreoffice-x11,627353,.008300
PackageKit-glib,626368,.008200
distribution-gpg-keys,625734,.008200
cyrus-sasl,624691,.008200
pam-libs,622895,.008200
libunwind,620276,.008200
google-noto-sans-arabic-vf-fonts,620084,.008200
perl-B,620062,.008200
gcr,619176,.008200
totem-pl-parser,616384,.008100
uchardet,614967,.008100
mtools,614774,.008100
NetworkManager-openconnect-gnome,614649,.008100
NetworkManager-vpnc-gnome,614598,.008100
yajl,613488,.008100
NetworkManager-pptp-gnome,613290,.008100
libcurl-minimal,611966,.008100
libxkbcommon,611882,.008100
abrt-addon-kerneloops,610243,.008000
passwd,609815,.008000
passwdqc-utils,609345,.008000
libbs2b,607473,.008000
sord,604910,.008000
woff2,604872,.008000
plymouth-graphics-libs,603251,.007900
trousers-lib,601395,.007900
libcanberra-gtk3,601234,.007900
libwacom-data,600512,.007900
libzhuyin,598564,.007900
python3-ply,598325,.007900
pcre2-utf32,596816,.007900
adobe-mappings-cmap-deprecated,596045,.007800
libssh,595349,.007800
libjpeg-turbo,594733,.007800
nmap-ncat,592152,.007800
python3-cairo,590972,.007800
anaconda-user-help,590937,.007800
google-noto-sans-math-fonts,590641,.007800
dmraid-libs,585575,.007700
google-noto-sans-mono-vf-fonts,578754,.007600
python3-audit,574848,.007600
perl-Pod-Simple,570852,.007500
hunspell-en-US,570772,.007500
hfsplus-tools,569954,.007500
crun,566973,.007500
libvirt-gconfig,566196,.007500
libvisual,565445,.007400
at-spi2-atk,565311,.007400
fuse-libs,563726,.007400
opencore-amr,563373,.007400
libe-book,561856,.007400
kbd-legacy,560926,.007400
audit-libs,560921,.007400
vulkan-loader,559010,.007400
libgomp,558898,.007400
js-jquery,557998,.007300
libepubgen,556799,.007300
hunspell-en-GB,556242,.007300
libXt,555529,.007300
conmon,555009,.007300
libubsan,551568,.007300
libfreehand,549795,.007200
gnome-shell-extension-common,545876,.007200
libnfs,543635,.007200
isns-utils-libs,540762,.007100
expat,540581,.007100
mesa-libglapi,538176,.007100
abattis-cantarell-fonts,537952,.007100
libksba,535498,.007000
yelp-libs,535494,.007000
libglvnd-opengl,534330,.007000
malcontent,533050,.007000
libdmapsharing4,530547,.007000
gutenprint-libs,530506,.007000
python3-idna,529571,.007000
passt,529137,.007000
gd,528875,.007000
libxmlb,528362,.006900
dbus-glib,527568,.006900
device-mapper-libs,524681,.006900
python3-beaker,523231,.006900
mobile-broadband-provider-info,521810,.006900
python3-hawkey,521429,.006900
google-noto-sans-ethiopic-vf-fonts,518425,.006800
imath,517606,.006800
NetworkManager-ssh,515985,.006800
